timestamp,power_kw,voltage,current_a,hour,day_of_week,is_weekend,is_spike
2026-04-17 13:38:35,1.155,230,5.02,13,4,0,0
2026-04-17 13:39:35,1.454,230,6.32,13,4,0,0
2026-04-17 13:40:35,1.333,230,5.8,13,4,0,0
2026-04-17 13:41:35,1.309,230,5.69,13,4,0,0
2026-04-17 13:42:35,1.167,230,5.07,13,4,0,0
2026-04-17 13:43:35,0.928,230,4.03,13,4,0,0
2026-04-17 13:44:35,0.977,230,4.25,13,4,0,0
2026-04-17 13:45:35,1.282,230,5.57,13,4,0,0
2026-04-17 13:46:35,0.802,230,3.49,13,4,0,0
2026-04-17 13:47:35,0.99,230,4.31,13,4,0,0
2026-04-17 13:48:35,0.995,230,4.32,13,4,0,0
2026-04-17 13:49:35,0.814,230,3.54,13,4,0,0
2026-04-17 13:50:35,0.932,230,4.05,13,4,0,0
2026-04-17 13:51:35,0.966,230,4.2,13,4,0,0
2026-04-17 13:52:35,1.334,230,5.8,13,4,0,0
2026-04-17 13:53:35,2.968,230,12.91,13,4,0,1
2026-04-17 13:54:35,1.154,230,5.02,13,4,0,0
2026-04-17 13:55:35,1.382,230,6.01,13,4,0,0
2026-04-17 13:56:35,1.184,230,5.15,13,4,0,0
2026-04-17 13:57:35,1.337,230,5.81,13,4,0,0
2026-04-17 13:58:35,0.808,230,3.51,13,4,0,0
2026-04-17 13:59:35,1.287,230,5.59,13,4,0,0
2026-04-17 14:00:35,1.501,230,6.53,14,4,0,0
2026-04-17 14:01:35,0.935,230,4.06,14,4,0,0
2026-04-17 14:02:35,0.814,230,3.54,14,4,0,0
2026-04-17 14:03:35,1.496,230,6.5,14,4,0,0
2026-04-17 14:04:35,0.855,230,3.72,14,4,0,0
2026-04-17 14:05:35,1.307,230,5.68,14,4,0,0
2026-04-17 14:06:35,1.098,230,4.77,14,4,0,0
2026-04-17 14:07:35,1.307,230,5.68,14,4,0,0
2026-04-17 14:08:35,1.105,230,4.8,14,4,0,0
2026-04-17 14:09:35,1.231,230,5.35,14,4,0,0
2026-04-17 14:10:35,1.008,230,4.38,14,4,0,0
