timestamp,power_kw,voltage,current_a,hour,day_of_week,is_weekend,is_spike
2026-02-05 19:23:15,2.73,230,11.87,19,3,0,0
2026-02-05 19:24:15,2.745,230,11.94,19,3,0,0
2026-02-05 19:25:15,3.106,230,13.5,19,3,0,0
2026-02-05 19:26:17,4.978,230,21.65,19,3,0,0
2026-02-05 19:27:18,5.056,230,21.98,19,3,0,0
2026-02-05 19:28:20,2.636,230,11.46,19,3,0,0
2026-02-05 19:29:21,3.22,230,14.0,19,3,0,0
2026-02-05 19:30:22,4.682,230,20.36,19,3,0,0
2026-02-05 19:31:24,6.574,230,28.58,19,3,0,1
2026-02-05 19:32:25,5.835,230,25.37,19,3,0,0
2026-02-05 19:33:25,5.776,230,25.11,19,3,0,0
2026-02-05 19:34:25,3.466,230,15.07,19,3,0,0
2026-02-05 19:35:25,3.474,230,15.1,19,3,0,0
2026-02-05 19:36:25,5.637,230,24.51,19,3,0,0
2026-02-05 19:37:25,4.569,230,19.86,19,3,0,0
2026-02-05 19:38:25,3.814,230,16.58,19,3,0,0
2026-02-05 19:39:25,4.637,230,20.16,19,3,0,0
2026-02-05 19:40:25,3.641,230,15.83,19,3,0,0
2026-02-05 19:41:25,3.666,230,15.94,19,3,0,0
2026-02-05 19:42:25,5.493,230,23.88,19,3,0,0
2026-02-05 19:43:25,4.265,230,18.55,19,3,0,0
2026-02-05 19:44:25,4.365,230,18.98,19,3,0,0
2026-02-05 19:45:25,4.947,230,21.51,19,3,0,0
2026-02-05 19:46:25,3.207,230,13.94,19,3,0,0
2026-02-05 19:47:25,3.952,230,17.18,19,3,0,0
2026-02-05 19:48:26,5.136,230,22.33,19,3,0,0
2026-02-05 20:17:11,7.219,230,31.39,20,3,0,1
2026-02-05 20:18:13,6.282,230,27.31,20,3,0,1
2026-02-05 20:19:14,3.481,230,15.13,20,3,0,0
2026-02-05 20:20:14,5.246,230,22.81,20,3,0,0
2026-02-05 20:21:39,3.086,230,13.42,20,3,0,0
2026-02-05 20:22:39,2.758,230,11.99,20,3,0,0
2026-02-05 20:23:39,4.556,230,19.81,20,3,0,0
2026-02-05 20:24:39,4.556,230,19.81,20,3,0,0
2026-02-05 20:25:39,3.077,230,13.38,20,3,0,0
2026-02-05 20:26:39,4.311,230,18.74,20,3,0,0
2026-02-05 20:27:39,4.813,230,20.92,20,3,0,0
2026-02-05 20:28:39,5.639,230,24.52,20,3,0,0
